prediction	target	average probability	entropy	dist
c h r u s t a ł a	c h r u s t a ł a	0.030895905569195747	0.013013433665037155	-2
n i e ś w i a t ł o ż ą d n y c h	n i e ś w i a t ł o ż ą d n y c h	0.038066843152046205	0.019390325993299484	-2
n i e p l u s k o c z ą c e	n i e p l u s k o c z ą c e	0.024309004843235015	1.074981927871704	-2
p r z y p o d n u j ą c e m u   s i ę	p r z y p o d n o s z ą c e m u   s i ę	0.033335911482572554	0.9627493619918823	1
c u g o w o ś ć	c u g o w o ś ć	0.04639022275805473	0.015299869701266289	-2
p r z y w ę d z e ń	p r z y w ę d z e ń	0.02769402489066124	0.06235916540026665	-2
n i e o d p l a t a j ą c y m i   s i ę	n i e o d p l a t a j ą c y m i   s i ę	0.03358149565756321	0.021377215161919594	-2
n i e p r o f a s z y s t o w s k i c h	n i e p r o f a s z y s t o w s k i c h	0.03592079766094684	0.014960120432078838	-2
n i e w y d u d k a n y c h	n i e w y d u d k a n y c h	0.03197056166827679	0.01150696724653244	-2
k o n f o r m i z m i e	k o n f o r m i z m i e	0.027103561162948608	0.4756106436252594	-2
n i e k r z e s ł o w ą	n i e k r z e s ł o w ą	0.03613293319940567	0.01142849586904049	-2
u s t r a s z m y	u s t r a s z m y	0.02706294059753418	0.04421576112508774	-2
n i e w y h a m o w a n y c h	n i e w y h a m o w a n y c h	0.030519219115376472	0.01585715264081955	-2
z a d u m a n a	z a d u m a n a	0.04039820209145546	0.012118679471313953	-2
p o g l ą d o w o ś c i	p o g l ą d o w o ś c i	0.02908245399594307	0.015789533033967018	-2
n i e p r z e o b l e k a j ą c y m	n i e p r z e o b l e k a j ą c y m	0.030767430365085603	0.0148456497117877	-2
n i e d y g a j ą c y	n i e d y g a j ą c y	0.032010523974895476	0.01625579036772251	-2
r e p r e s y w n o ś c i	r e p r e s y w n o ś c i	0.038371560722589494	0.013794874772429466	-2
s m a r k n i j m y	s m a r k n i j m y	0.027056728303432465	0.025739312171936035	-2
t e r	t e r	0.0965017057955265	0.040728334337472916	-2
n i e u m u z y k a l n i e ń	n i e u m u z y k a l n i e ń	0.026896433532238008	0.039226122200489044	-2
n i e z a d z i o b u j ą c y   s i ę	n i e z a d z i o b u j ą c y   s i ę	0.03813701868057251	0.011965302750468254	-2
k o k i e t e r y j n y	k o k i e t e r y j n y	0.04076821729540825	0.016373198479413986	-2
p r z e m a r z a j ą c e j	p r z e m a r z a j ą c e j	0.026830064505338667	0.020184174180030823	-2
n i e o d ś w i e t l o n y m i	n i e o d ś w i e t l o n y m i	0.03060643598437309	0.04304773733019829	-2
w b i e c l i ś c i e	w b i e g l i ś c i e	0.025107752159237863	0.5604336261749268	-1
o f i c e r k ó w	o f i c e r k ó w	0.03567963615059853	0.020003948360681534	-2
w a ś n i e j e c i e	w a ś n i s z	0.01932300627231598	1.5973467826843262	4
n a k a r b o w a n ą	n a k a r b o w a n ą	0.03275754377245903	0.013673857785761356	-2
p o w i n u j e   s i ę	p o w i n o w a c i   s i ę	0.027494437620043756	0.6905745267868042	3
o d t ł u s z c i ł o b y m   s i ę	o d t ł u ś c i ł o b y m   s i ę	0.02891882248222828	0.7308905124664307	0
p a r a f r a z u j   s i ę	p a r a f r a z u j   s i ę	0.028866763785481454	0.020691972225904465	-2
n i e w e ł n o d a j n o ś c i	n i e w e ł n o d a j n o ś c i	0.03633683472871781	0.01712038740515709	-2
l u f s k u	l u f s k u	0.03643607646226883	0.07439251244068146	-2
n i e i d e a l i s t y c z n o ś c i	n i e i d e a l i s t y c z n o ś c i	0.035699412971735	0.01919393800199032	-2
b ę d z i e c i e   o ś m i e w a l i	b ę d z i e c i e   o ś m i e w a l i	0.03564330488443375	0.013715177774429321	-2
m i o d n y m	m i o d n y m	0.05124324262142181	0.012725473381578922	-2
l i t o g r a f o w a ł y ś c i e   s i ę	l i t o g r a f o w a ł y ś c i e   s i ę	0.04882201626896858	0.013030079193413258	-2
r u l o w a n e j	r u l o w a n e j	0.03611489087343216	0.013004551641643047	-2
b ę d z i e s z   g l a n s o w a ł o   s i ę	b ę d z i e s z   g l a n s o w a ł o   s i ę	0.0381815604865551	0.02338380552828312	-2
n i e b u l k o c z ą c y m i	n i e b u l k o c z ą c y m i	0.028863821551203726	0.7440800070762634	-2
n i e s o l a n k o w a n e	n i e s o l a n k o w a n e	0.03585115671157837	0.016706936061382294	-2
n i e p o z a o b o w i ą z k o w y m	n i e p o z a o b o w i ą z k o w y m	0.03203093335032463	0.019846346229314804	-2
o b i e c u j ą c y c h	o b i e c u j ą c y c h	0.02923286147415638	0.22979965806007385	-2
e s t e t y z u j ą c e	e s t e t y z u j ą c e	0.02874067537486553	0.01744917966425419	-2
n i e n o r m a n d z k i c h	n i e n o r m a n d z k i c h	0.035405146330595015	0.01774361915886402	-2
n i e z d r a p y w a n y m	n i e z d r a p y w a n y m	0.029084690287709235	0.013022257015109062	-2
o z n a j m o w a ł a   s i ę	o z n a j m o w a ł a   s i ę	0.029238466918468476	0.011545199900865555	-2
b ę d z i e s z   r o z c i e r a ł o	b ę d z i e s z   r o z c i e r a ł o	0.03066200725734234	0.021493520587682724	-2
n i e n i u a n s o w a n i e	n i e n i u a n s o w a n i e	0.023568230122327803	0.02247125841677189	-2
n i e p o s z u f l a d k o w a n i u	n i e p o s z u f l a d k o w a n i u	0.028348152711987495	0.015902189537882805	-2
d w u z n a c z n a	d w u z n a c z n a	0.04260214790701866	0.012395874597132206	-2
n i e s k o p e r o w a n e j	n i e s k o o p e r o w a n e j	0.035348909348249434	0.696385383605957	-1
e l e w k a m i	e l e w k a m i	0.039167193323373796	0.030609721317887306	-2
p r z e p o p i e l o n y c h	p r z e p o p i e l o n y c h	0.030477890744805336	0.04299439862370491	-2
o s k r o b u j ą c e	o s k r o b u j ą c e	0.030176546052098276	0.025269387289881706	-2
z a ż y d z a ł o m	z a ż y d z a ł o m	0.029193107038736343	0.016927041113376617	-2
z a l ę k n i ę t e	z a l ę k n i ę t e	0.03794529177248478	0.012067046016454697	-2
n i e t u r b o ś m i g ł o w o ś ć	n i e t u r b o ś m i g ł o w o ś ć	0.029535411298274993	0.01718802936375141	-2
n i e w o k a l n y m	n i e w o k a l n y m	0.0388814777135849	0.014515251852571964	-2
b ę d z i e c i e   c z ł o n o w a ł y	b ę d z i e c i e   c z ł o n o w a ł y	0.029370643198490143	0.021501507610082626	-2
u z w o j e n i u	u z w o j e n i u	0.029169930145144463	0.07483246922492981	-2
f l a d e r k o w a ł y b y	f l a d e r k o w a ł y b y	0.028592237457633018	0.01472476590424776	-2
w l e ź c i e	w l e z i e c i e	0.028571416065096854	0.3590956926345825	1
b ę d ę   u p e r l a ł o   s i ę	b ę d ę   u p e r l a ł o   s i ę	0.03445153795182705	0.03524400666356087	-2
p o t a s o w o ś c i	p o t a s o w o ś c i	0.03883016258478165	0.013246563263237476	-2
s p i e r n i c z e l i ś c i e	s p i e r n i c z e l i ś c i e	0.027271300181746484	0.36813879013061523	-2
n i e k o p u l u j ą c y	n i e k o p u l u j ą c y	0.030475345253944398	0.013719410635530949	-2
n a j t r y w i a l n i e j s z y m	n a j t r y w i a l n i e j s z y m	0.02767460495233536	0.020418817177414894	-2
n i e o d k o d o w y w a n y c h	n i e o d k o d o w y w a n y c h	0.030254562199115754	0.019370637834072113	-2
r o z d z i e w i c z a j ą c e	r o z d z i e w i c z a j ą c e	0.02730051912367344	0.03752782940864563	-2
n i e o d p t a s z k o w y w a n y m	n i e o d p t a s z k o w y w a n y m	0.02878514677286148	0.019038420170545578	-2
r o z p ł a w i o n ą	r o z p ł a w i o n ą	0.029265229776501655	0.018454641103744507	-2
s z a p t a l i z u j ą c y m   s i ę	s z a p t a l i z u j ą c y m   s i ę	0.034811870008707044	0.012385692447423935	-2
p r z e m a r n o w y w a n e j	p r z e m a r n o w y w a n e j	0.035406362265348434	0.015649234876036644	-2
t a p l a l i ś m y   s i ę	t a p l a l i ś m y   s i ę	0.04087862744927406	0.01308448426425457	-2
o d p o z n a w a ł y	o d p o z n a w a ł y	0.028433467820286752	0.021580317988991737	-2
k a s a r a c h	k a s a r a c h	0.03358477801084518	0.01581985503435135	-2
d e p a n s o w a n y m	d e p a n s o w a n y m	0.026156969368457794	0.02081536315381527	-2
n i e u p o ż y t e c z n i e n i	n i e u p o ż y t e c z n i e n i	0.03525492250919342	0.04976751655340195	-2
n i e p o w i e w n ą	n i e p o w i e w n ą	0.03360936492681503	0.01430398877710104	-2
n i e s u b t y l i z o w a n e j	n i e s u b t y l i z o w a n e j	0.03767477348446846	0.014890676364302635	-2
z a p r a ż a ł y b y ś m y	z a p r a ż a ł y b y ś m y	0.029495296254754066	0.019063670188188553	-2
n i e w s t r z ą s a j ą c y	n i e w s t r z ą s a j ą c y	0.02361660487949848	0.3382185101509094	-2
z n a r k o t y z o w a l i ś m y	z n a r k o t y z o w a l i ś m y	0.030556808412075042	0.015384303405880928	-2
p o t ę g o w ą	p o t ę g o w ą	0.0438235379755497	0.014825571328401566	-2
n i e k r ó c i u ś k o ś ć	n i e k r ó c i u ś k o ś ć	0.03457632958889008	0.031548596918582916	-2
c y k l i n o w a l i b y ś c i e   s i ę	c y k l i n o w a l i b y ś c i e   s i ę	0.052591753751039506	0.013856993988156319	-2
n i e m a r s o w i e j ą c e	n i e m a r s o w i e j ą c e	0.03012390248477459	0.2731066644191742	-2
r o z b u d z a l i ś m y   s i ę	r o z b u d z a l i ś m y   s i ę	0.041088652610778806	0.013879619538784027	-2
b r y t	b r y t	0.10693720728158951	0.012347904965281487	-2
n i e m i n u s o w e	n i e m i n u s o w e	0.03715020269155502	0.012031190097332	-2
n i e o b a t o ż o n e g o	n i e o b a t o ż o n e g o	0.03720489665865898	0.01555502787232399	-2
