prediction	target	average probability	entropy	edit_distance	uncertainty_value
n i e p r z e p c h a n i a	n i e p r z e p c h a n i a	0.19558091163635255	tensor(0.3191)	-2	0.31914523243904114
o d l u d n o ś ć	o d l u d n o ś ć	0.1965314269065857	tensor(0.3197)	-2	0.31974345445632935
p a c a ł y b y ś c i e	p a c a ł y b y ś c i e	0.19743515253067018	tensor(0.3203)	-2	0.3203079402446747
u m o t y w a j c i e	u m o t y w u j c i e	0.09080366492271423	tensor(0.4233)	-1	0.42330408096313477
b ę d z i e c i e   o m ą c z a ł y	b ę d z i e c i e   o m ą c z a ł y	0.18906681537628173	tensor(0.3149)	-2	0.3149200677871704
n i e o s i w i o n e m u	n i e o s i w i o n e m u	0.19529439210891725	tensor(0.3190)	-2	0.31896400451660156
n i e p i s y w a n y c h	n i e p i s y w a n y c h	0.19655586481094361	tensor(0.3198)	-2	0.3197587728500366
n i e w y s k a r ż a j ą c e m u   s i ę	n i e w y s k a r ż a j ą c e m u   s i ę	0.1942115306854248	tensor(0.3183)	-2	0.3182752728462219
d e h u m a n i z o w a n y m i	d e h u m a n i z o w a n y m i	0.1979924201965332	tensor(0.3207)	-2	0.3206539750099182
h o ł o t k i e	h o ł o t c e	0.13316726684570312	tensor(0.2685)	0	0.26848509907722473
p o u w ł a s z c z e n i o w y c h	p o u w ł a s z c z e n i o w y c h	0.19617695808410646	tensor(0.3195)	-2	0.31952089071273804
n i e m i ę d z y g r o m a d z k o ś c i a c h	n i e m i ę d z y g r o m a d z k o ś c i a c h	0.19361122846603393	tensor(0.3179)	-2	0.31789088249206543
n i e u n a t u r a l n i o m	n i e u n a t u r a l n i e n i o m	0.08593909740447998	tensor(0.4081)	1	0.4080551862716675
d ę t o l o g i e	d ę t o l o g i i	0.18853836059570311	tensor(0.3146)	-1	0.31456753611564636
j a w o r z n i c k i	j a w o r z n i c c y	0.1977861762046814	tensor(0.3205)	0	0.3205260932445526
n i e w i l k o w a t y m	n i e w i l k o w a t y m	0.19703742265701293	tensor(0.3201)	-2	0.32006001472473145
p r z e s i ą k r a c h	p r z e s i ą k r a c h	0.19729740619659425	tensor(0.3202)	-2	0.3202221989631653
w y p i ę k n i a l i b y	w y p i ę k n i a l i b y	0.19670599699020386	tensor(0.3199)	-2	0.3198528289794922
o z i e w a ł o b y ś	o z i e w a ł o b y ś	0.19754017591476442	tensor(0.3204)	-2	0.3203732967376709
n i e o b w ł ó c z o n y c h	n i e o b w ł ó c z o n y c h	0.1969986915588379	tensor(0.3200)	-2	0.320035845041275
s z p i n e t o w o ś c i	s z p i n e t o w o ś c i	0.195125949382782	tensor(0.3189)	-2	0.31885725259780884
n a z i e m n y	n a z i e m n y	0.19748334884643554	tensor(0.3203)	-2	0.3203379511833191
n i e k a r n a w a ł o w a n i e	n i e k a r n a w a ł o w a n i e	0.19462281465530396	tensor(0.3185)	-2	0.31853756308555603
w y p o ś r o d k o w u j ą c e j	w y p o ś r o d k o w u j ą c e j	0.19282385110855102	tensor(0.3174)	-2	0.31738385558128357
p o p i e c e n i a	p o p i e c z e n i a	0.1893274664878845	tensor(0.3151)	-1	0.31509336829185486
n i e p r z y o r y w a j ą c e   s i ę	n i e p r z y o r y w a j ą c e   s i ę	0.17756338119506837	tensor(0.3069)	-2	0.30690544843673706
d r u g o l e t n i m i	d r u g o l e t n i m i	0.15415178537368773	tensor(0.2882)	-2	0.28823572397232056
z m u t u j e c i e   s i ę	z m u t u j e c i e   s i ę	0.19515897035598756	tensor(0.3189)	-2	0.3188782036304474
l u d w i s a r s t w u	l u d w i s a r s t w i e	0.19494636058807374	tensor(0.3187)	0	0.3187433183193207
r z ę z ą c e	r z ę ż ą c e	0.17198047637939454	tensor(0.3027)	-1	0.30274999141693115
n i e z w i ę d n i ę t e j	n i e z w i ę d n i ę t e j	0.1935155749320984	tensor(0.3178)	-2	0.317829430103302
n i e k o m o r n i c z y m	n i e k o m o r n i c z y m	0.1967555522918701	tensor(0.3199)	-2	0.3198838233947754
