test result name	overall	both	lemma	feats	neither
test_1	0.6732	0.7067	0.6597	0.6957	0.6277
test_2	0.6942	0.7341	0.6824	0.7226	0.6340
test_3	0.7188	0.7596	0.6994	0.7517	0.6617
test_4	0.7449	0.7778	0.7183	0.7830	0.7000
test_5	0.7444	0.7741	0.7240	0.7785	0.7000
test_6	0.7499	0.7869	0.7089	0.7830	0.7213
test_7	0.7559	0.7887	0.7202	0.7875	0.7277
test_8	0.7654	0.7960	0.7353	0.7987	0.7319
test_9	0.7734	0.8160	0.7353	0.8054	0.7362
test_10	0.7684	0.7905	0.7448	0.7964	0.7426
test_11	0.7704	0.8015	0.7429	0.7942	0.7426
test_12	0.7684	0.8033	0.7429	0.7964	0.7298
test_13	0.7724	0.8124	0.7372	0.7964	0.7426
test_14	0.7759	0.8142	0.7505	0.7919	0.7447
test_15	0.7709	0.8051	0.7353	0.8031	0.7404
test_16	0.7779	0.8106	0.7448	0.8076	0.7489
test_17	0.7704	0.7942	0.7316	0.8121	0.7468
test_18	0.7744	0.8015	0.7391	0.8098	0.7489
test_19	0.7799	0.8106	0.7486	0.8143	0.7468
test_20	0.7764	0.8106	0.7391	0.8031	0.7532
test_21	0.7754	0.8051	0.7429	0.8143	0.7404
test_22	0.7739	0.8015	0.7372	0.8098	0.7489
test_23	0.7709	0.7978	0.7429	0.7987	0.7447
test_24	0.7714	0.8051	0.7429	0.8031	0.7340
test_25	0.7769	0.8051	0.7429	0.8076	0.7532
