test result name	overall	both	lemma	feats	neither
test_1	0.4273	0.8525	0.0000	0.8235	0.0000
test_2	0.4510	0.8975	0.0000	1.0000	0.0000
test_3	0.4591	0.9139	0.0000	1.0000	0.0000
test_4	0.4631	0.9221	0.0000	1.0000	0.0000
test_5	0.4652	0.9262	0.0000	1.0000	0.0000
test_6	0.4707	0.9385	0.0000	0.9412	0.0000
test_7	0.4702	0.9375	0.0000	0.9412	0.0000
test_8	0.4742	0.9457	0.0000	0.9412	0.0000
test_9	0.4742	0.9457	0.0000	0.9412	0.0000
test_10	0.4692	0.9355	0.0000	0.9412	0.0000
test_11	0.4758	0.9488	0.0000	0.9412	0.0000
test_12	0.4732	0.9436	0.0000	0.9412	0.0000
test_13	0.4768	0.9498	0.0000	1.0000	0.0000
test_14	0.4753	0.9477	0.0000	0.9412	0.0000
test_15	0.4768	0.9498	0.0000	1.0000	0.0000
test_16	0.4778	0.9518	0.0000	1.0000	0.0000
test_17	0.4727	0.9416	0.0000	1.0000	0.0000
test_18	0.4717	0.9395	0.0000	1.0000	0.0000
test_19	0.4768	0.9498	0.0000	1.0000	0.0000
test_20	0.4737	0.9436	0.0000	1.0000	0.0000
test_21	0.4712	0.9385	0.0000	1.0000	0.0000
test_22	0.4768	0.9498	0.0000	1.0000	0.0000
test_23	0.4727	0.9416	0.0000	1.0000	0.0000
test_24	0.4631	0.9221	0.0000	1.0000	0.0000
test_25	0.4672	0.9303	0.0000	1.0000	0.0000
