test result name	overall	both	lemma	feats	neither
test_1	0.2597	0.3837	0.1654	0.1446	0.0714
test_2	0.3192	0.4594	0.2054	0.2771	0.1000
test_3	0.3574	0.5090	0.2389	0.2651	0.1143
test_4	0.3742	0.5384	0.2378	0.3133	0.1714
test_5	0.3977	0.5722	0.2508	0.3735	0.1571
test_6	0.4221	0.6095	0.2638	0.4217	0.1429
test_7	0.4369	0.6140	0.2919	0.3976	0.1571
test_8	0.4516	0.6377	0.2962	0.4337	0.1714
test_9	0.4766	0.6716	0.3157	0.4337	0.1857
test_10	0.4949	0.6840	0.3395	0.4458	0.2143
test_11	0.5199	0.7223	0.3470	0.5301	0.2286
test_12	0.5265	0.7201	0.3611	0.5422	0.2429
test_13	0.5341	0.7291	0.3686	0.5301	0.2571
test_14	0.5453	0.7506	0.3730	0.5422	0.2286
test_15	0.5351	0.7325	0.3697	0.5542	0.2000
test_16	0.5412	0.7494	0.3600	0.6024	0.2286
test_17	0.5326	0.7483	0.3481	0.5422	0.2286
test_18	0.5321	0.7381	0.3578	0.5181	0.2429
test_19	0.5341	0.7449	0.3535	0.5542	0.2286
test_20	0.5367	0.7427	0.3611	0.5663	0.2143
test_21	0.5509	0.7551	0.3784	0.5301	0.2714
test_22	0.5509	0.7596	0.3762	0.5422	0.2286
test_23	0.5311	0.7336	0.3546	0.5783	0.2429
test_24	0.5311	0.7449	0.3524	0.5181	0.2000
test_25	0.5362	0.7460	0.3568	0.5542	0.2286
