test result name	overall	both	lemma	feats	neither
test_1	0.7745	0.8033	0.7571	0.8403	0.7075
test_2	0.8255	0.8852	0.7857	0.8892	0.7602
test_3	0.8500	0.8852	0.8143	0.9223	0.7774
test_4	0.8720	0.9016	0.8286	0.9329	0.8118
test_5	0.8725	0.8852	0.8143	0.9350	0.8129
test_6	0.8715	0.8852	0.8143	0.9340	0.8118
test_7	0.8800	0.9016	0.8286	0.9393	0.8226
test_8	0.8880	0.9016	0.8429	0.9436	0.8344
test_9	0.8805	0.8852	0.8143	0.9393	0.8258
test_10	0.8810	0.9016	0.8143	0.9414	0.8237
test_11	0.8875	0.9344	0.8429	0.9446	0.8301
test_12	0.8830	0.9180	0.8571	0.9425	0.8226
test_13	0.8785	0.9016	0.8286	0.9425	0.8161
test_14	0.8840	0.9016	0.8429	0.9425	0.8269
test_15	0.8800	0.9180	0.8286	0.9414	0.8194
test_16	0.8805	0.9016	0.8429	0.9457	0.8161
test_17	0.8795	0.9344	0.8571	0.9425	0.8140
test_18	0.8860	0.9016	0.8286	0.9457	0.8290
test_19	0.8985	0.9344	0.8857	0.9499	0.8452
test_20	0.8925	0.9344	0.8571	0.9468	0.8376
test_21	0.8900	0.9344	0.8714	0.9425	0.8355
test_22	0.8950	0.9344	0.8714	0.9446	0.8441
test_23	0.8915	0.9344	0.8571	0.9446	0.8376
test_24	0.8975	0.9344	0.8714	0.9446	0.8495
test_25	0.8890	0.9180	0.8571	0.9489	0.8290
