test result name	overall	both	lemma	feats	neither
test_1	0.6787	0.7086	0.6767	0.6935	0.6319
test_2	0.7313	0.7541	0.7127	0.7562	0.7021
test_3	0.7504	0.7778	0.7259	0.7830	0.7149
test_4	0.7544	0.7760	0.7353	0.7919	0.7149
test_5	0.7644	0.7960	0.7335	0.8031	0.7255
test_6	0.7704	0.8106	0.7372	0.8031	0.7298
test_7	0.7659	0.8051	0.7278	0.8009	0.7298
test_8	0.7739	0.8033	0.7486	0.8031	0.7404
test_9	0.7774	0.8033	0.7543	0.8054	0.7468
test_10	0.7704	0.8051	0.7410	0.7919	0.7426
test_11	0.7769	0.8033	0.7486	0.8031	0.7532
test_12	0.7759	0.8015	0.7486	0.8076	0.7468
test_13	0.7774	0.8142	0.7410	0.8076	0.7468
test_14	0.7794	0.8197	0.7429	0.8076	0.7468
test_15	0.7724	0.8033	0.7372	0.8054	0.7447
test_16	0.7784	0.8087	0.7505	0.8054	0.7489
test_17	0.7734	0.8033	0.7467	0.8054	0.7383
test_18	0.7764	0.8106	0.7448	0.8031	0.7468
test_19	0.7805	0.7996	0.7486	0.8255	0.7511
test_20	0.7724	0.8069	0.7429	0.7964	0.7426
test_21	0.7764	0.8069	0.7505	0.8009	0.7468
test_22	0.7779	0.8087	0.7410	0.8076	0.7553
test_23	0.7729	0.7996	0.7448	0.7987	0.7489
test_24	0.7719	0.8051	0.7410	0.7897	0.7511
test_25	0.7779	0.8033	0.7448	0.8143	0.7511
