test result name	overall	both	lemma	feats	neither
test_1	2.542697596125132e-05	6.715306186760861e-05	0.00010949074653104907	2.1220265353283363e-05	0.00018940697148023267
test_2	8.074321141210428e-05	0.00011068310987671914	0.00014722646074022405	0.00017496709357456286	0.00019085559076509329
test_3	1.9256160451175397e-05	2.0437888394564396e-05	6.375048688372909e-05	9.32890910819717e-05	0.0004501584427343275
test_4	2.7276210576410165e-05	0.00017173134793846412	5.20295453491082e-05	5.204970747074711e-06	9.669533725659152e-05
test_5	9.421046350210904e-05	3.8486932691039755e-05	0.0002501420449467773	0.0001008963560198417	0.0001387052965142188
test_6	6.807997437197066e-05	0.00010165858772870351	0.0002807308435862632	9.489062054257591e-05	0.0002795835219555065
test_7	0.00011230080213053828	0.0001552748663739001	0.0003759277589774346	8.287914958804432e-05	0.0002589406971480468
test_8	5.889410242376769e-06	3.769065132508409e-05	2.429951293769772e-05	4.684473672345035e-05	3.078315980065138e-05
test_9	2.9708356103275158e-05	7.644301113796104e-05	9.348165565459254e-05	1.521452987607308e-05	0.00031978270710730783
test_10	3.109528206501899e-05	0.00013934923905367658	3.0017045393626596e-05	0.00014694032801343404	0.00018578542326841418
test_11	0.0001607427089026503	7.750471962597594e-05	0.0003744983758632303	0.0001269212097554373	0.00027052965142604357
test_12	8.040150499821763e-07	7.909728235810931e-05	6.660925311152699e-05	3.323173630820353e-05	9.669533725664703e-05
test_13	0.0001308936501654978	6.8214770355568e-05	0.00048513262888583153	4.3241295437090876e-05	0.0005765504753284523
test_14	5.694436592718066e-05	0.00011360280821892665	0.00016952483731824675	2.282179481416513e-05	0.00012240832956089687
test_15	5.9838820107849244e-05	3.132040039666162e-05	0.0003238982136284374	5.325085456620027e-05	0.00026183793571743497
test_16	2.0341580768912237e-05	3.238210888478754e-05	0.0001449394477578414	8.087723776206701e-05	0.0001857854232685252
test_17	2.3959648494664698e-05	2.335758673643884e-05	5.8604707673381995e-05	6.406117842550074e-05	0.00012059755545501538
test_18	4.568815522532077e-05	2.2030451126475725e-05	0.00017638587626556124	6.286003133004758e-05	0.00029805341783606387
test_19	2.036168114527559e-05	4.3264620886995786e-05	3.487694798121055e-05	5.084856037518293e-05	0.00012023540063377247
test_20	2.542697596130683e-05	3.901778693493618e-05	6.375048688367357e-05	9.328909108186068e-05	0.00024517881394303664
test_21	1.2924541931025324e-05	8.148612645608733e-05	7.089740245347365e-05	6.005735477387919e-05	8.691715708464276e-05
test_22	7.833116626132508e-05	5.228914303556653e-05	0.00027930146047216997	3.8036324690016166e-05	0.00035599818922593673
test_23	2.9447051211994868e-05	0.00019960119574935486	1.0863311666331477e-05	1.521452987607308e-05	4.961521050250717e-05
test_24	2.7075206813886865e-05	4.9634871815307235e-05	9.148051929752654e-06	5.525276639184451e-05	8.691715708464276e-05
test_25	3.4472145275410426e-05	3.9017786935047205e-05	0.00014093717503860237	2.6825618465564638e-05	0.00011697600724314139
