test result name	both	lemma	feats	neither
total_instances_1	121.0	132.0	846.0	896.0
total_instances_2	145.6	154.0	834.2	861.2
total_instances_3	169.2	183.0	819.4	823.4
total_instances_4	192.6	206.4	797.4	798.6
total_instances_5	218.2	225.8	773.8	777.2
total_instances_6	244.2	244.4	748.8	757.6
total_instances_7	264.0	267.2	730.4	733.4
total_instances_8	280.8	284.6	714.2	715.4
total_instances_9	306.8	302.2	688.2	697.8
total_instances_10	328.8	320.4	666.2	679.6
total_instances_11	347.8	333.2	647.2	666.8
total_instances_12	366.0	350.0	629.0	650.0
total_instances_13	383.2	367.4	611.8	632.6
total_instances_14	399.6	385.0	595.4	615.0
total_instances_15	412.6	403.0	582.4	597.0
total_instances_16	425.6	418.0	570.0	581.4
total_instances_17	440.2	432.0	555.6	567.2
total_instances_18	453.2	445.0	542.6	554.2
total_instances_19	467.0	457.8	529.0	541.2
total_instances_20	480.6	474.2	515.4	524.8
total_instances_21	497.0	486.6	499.0	512.4
total_instances_22	510.8	498.6	485.2	500.4
total_instances_23	524.0	511.4	472.0	487.6
total_instances_24	536.6	520.4	459.4	478.6
total_instances_25	549.0	529.0	447.0	470.0
