test result name	both	lemma	feats	neither
total_instances_1	121.0	132.0	846.0	896.0
total_instances_2	145.6	151.8	835.4	862.2
total_instances_3	170.2	176.8	815.4	832.6
total_instances_4	195.8	203.4	793.8	802.0
total_instances_5	218.2	226.8	772.8	777.2
total_instances_6	240.4	244.8	752.4	757.4
total_instances_7	261.6	260.8	732.0	740.6
total_instances_8	282.4	284.6	711.4	716.6
total_instances_9	308.6	304.2	686.2	696.0
total_instances_10	326.4	319.2	668.6	680.8
total_instances_11	345.0	333.2	650.0	666.8
total_instances_12	365.4	351.4	629.6	648.6
total_instances_13	380.0	365.6	615.2	634.2
total_instances_14	393.8	381.8	601.4	618.0
total_instances_15	410.0	399.8	585.4	599.8
total_instances_16	424.8	417.2	571.0	582.0
total_instances_17	440.0	432.2	556.0	566.8
total_instances_18	451.6	444.4	544.4	554.6
total_instances_19	464.8	456.2	531.2	542.8
total_instances_20	478.6	473.0	517.4	526.0
total_instances_21	490.6	484.0	505.4	515.0
total_instances_22	504.6	497.6	491.4	501.4
total_instances_23	519.0	508.6	477.0	490.4
total_instances_24	532.4	518.2	463.6	480.8
total_instances_25	549.0	529.0	447.0	470.0
