test result name	both	lemma	feats	neither
total_instances_1	121.0	132.0	846.0	896.0
total_instances_2	160.4	160.8	815.8	858.0
total_instances_3	188.6	190.0	791.8	824.6
total_instances_4	216.8	212.0	769.4	796.8
total_instances_5	239.2	235.2	748.8	771.8
total_instances_6	265.2	258.2	724.0	747.6
total_instances_7	292.6	280.6	697.0	724.8
total_instances_8	311.8	303.2	678.8	701.2
total_instances_9	331.8	319.8	660.2	683.2
total_instances_10	348.2	337.6	644.2	665.0
total_instances_11	366.0	351.8	627.0	650.2
total_instances_12	381.4	368.0	612.0	633.6
total_instances_13	398.8	384.8	595.4	616.0
total_instances_14	414.0	399.2	580.2	601.6
total_instances_15	428.8	412.0	565.4	588.8
total_instances_16	444.2	426.0	550.0	574.8
total_instances_17	458.4	439.2	535.8	561.6
total_instances_18	473.0	454.2	521.2	546.6
total_instances_19	485.0	465.2	509.8	535.0
total_instances_20	495.0	475.4	500.0	524.6
total_instances_21	506.0	488.2	489.2	511.6
total_instances_22	513.6	497.0	481.6	502.8
total_instances_23	527.2	510.6	468.6	488.6
total_instances_24	538.0	521.2	458.0	477.8
total_instances_25	549.0	529.0	447.0	470.0
