test result name	both	lemma	feats	neither
test_1	121	132	846	896
test_2	144	157	840	854
test_3	179	188	811	817
test_4	199	209	794	793
test_5	217	226	777	775
test_6	239	247	755	754
test_7	257	265	737	736
test_8	284	288	711	712
test_9	302	312	693	688
test_10	320	327	675	673
test_11	344	343	651	657
test_12	365	355	630	645
test_13	379	366	616	634
test_14	397	387	598	613
test_15	412	408	583	592
test_16	421	420	574	580
test_17	432	430	564	569
test_18	447	446	549	553
test_19	458	462	538	537
test_20	472	481	524	518
test_21	487	500	509	499
test_22	504	510	492	489
test_23	518	516	478	483
test_24	530	524	466	475
test_25	549	529	447	470
