test result name	overall	both	lemma	feats	neither
test_1	0.4263	0.8514	0.0000	0.7647	0.0000
test_2	0.4374	0.8719	0.0000	0.8824	0.0000
test_3	0.4545	0.9068	0.0000	0.8824	0.0000
test_4	0.4591	0.9150	0.0000	0.9412	0.0000
test_5	0.4707	0.9385	0.0000	0.9412	0.0000
test_6	0.4732	0.9436	0.0000	0.9412	0.0000
test_7	0.4753	0.9477	0.0000	0.9412	0.0000
test_8	0.4778	0.9529	0.0000	0.9412	0.0000
test_9	0.4768	0.9508	0.0000	0.9412	0.0000
test_10	0.4747	0.9467	0.0000	0.9412	0.0000
test_11	0.4763	0.9498	0.0000	0.9412	0.0000
test_12	0.4773	0.9518	0.0000	0.9412	0.0000
test_13	0.4773	0.9508	0.0000	1.0000	0.0000
test_14	0.4768	0.9508	0.0000	0.9412	0.0000
test_15	0.4737	0.9447	0.0000	0.9412	0.0000
test_16	0.4732	0.9436	0.0000	0.9412	0.0000
test_17	0.4707	0.9385	0.0000	0.9412	0.0000
test_18	0.4702	0.9375	0.0000	0.9412	0.0000
test_19	0.4722	0.9416	0.0000	0.9412	0.0000
test_20	0.4712	0.9395	0.0000	0.9412	0.0000
test_21	0.4712	0.9385	0.0000	1.0000	0.0000
test_22	0.4722	0.9406	0.0000	1.0000	0.0000
test_23	0.4636	0.9242	0.0000	0.9412	0.0000
test_24	0.4677	0.9324	0.0000	0.9412	0.0000
test_25	0.4687	0.9344	0.0000	0.9412	0.0000
