test result name	overall	both	lemma	feats	neither
test_1	2.6670747882873158e-05	0.00010833781241592622	0.0	0.0005536332179930659	0.0
test_2	4.289358228753981e-05	0.0001761119322761795	0.0	0.0027681660899652183	0.0
test_3	4.040404040367429e-06	1.3269282451044973e-05	0.0	0.004705882352941337	0.0
test_4	7.89715335169916e-06	2.838618650879976e-05	0.0	0.0005536332179930659	0.0
test_5	2.183450668302722e-05	8.986159634494228e-05	0.0	0.0	0.0
test_6	3.373125191302728e-05	0.0001378997581295005	0.0	0.0022145328719723745	0.0
test_7	6.060606060565021e-06	2.6286616500725835e-05	0.0	0.0008304498269895433	0.0
test_8	6.999285787206988e-06	3.250134372478897e-05	0.0	0.0008304498269895433	0.0
test_9	1.2712988470636732e-05	5.41689062079076e-05	0.0	0.0008304498269895433	0.0
test_10	1.187633914900843e-05	5.10615425957095e-05	0.0	0.0008304498269897653	0.0
test_11	1.0243852667984887e-05	4.509876377323252e-05	0.0	0.0008304498269897653	0.0
test_12	4.6321803897630964e-06	1.956799247482266e-05	0.0	0.0005536332179931769	0.0
test_13	8.46852362001993e-06	3.1325584520347505e-05	0.0	0.0008304498269895433	0.0
test_14	1.6692174267946003e-05	6.869793066377472e-05	0.0	0.0	0.0
test_15	8.529741863078089e-06	3.838013974744037e-05	0.0	0.0008304498269895433	0.0
test_16	3.122130394855871e-06	1.410911045440777e-05	0.0	0.0005536332179931769	0.0
test_17	1.9732680338668818e-05	8.037153990858581e-05	0.0	0.0008304498269897653	0.0
test_18	5.740230588718864e-05	0.0002427102929318803	0.0	0.0008304498269895433	0.0
test_19	9.529639832639436e-06	3.947191615161216e-05	0.0	0.0005536332179931769	0.0
test_20	1.9283746556519876e-05	8.079145390993414e-05	0.0	0.0005536332179930659	0.0
test_21	3.520048974595125e-05	0.00014881752217166255	0.0	0.0005536332179931769	0.0
test_22	2.7997143148605907e-05	0.00010892569201803592	0.0	0.0008304498269897653	0.0
test_23	1.7549229670399402e-05	7.331698468138192e-05	0.0	0.0008304498269895433	0.0
test_24	4.63830221405781e-05	0.0002009708411717659	0.0	0.0005536332179931769	0.0
test_25	1.6426895214749493e-05	7.289707067992257e-05	0.0	0.0008304498269895433	0.0
