test result name	both	lemma	feats	neither
total_instances_1	315.0	404.0	678.0	583.0
total_instances_2	367.0	488.4	626.0	498.6
total_instances_3	414.0	534.8	579.0	452.2
total_instances_4	469.0	575.4	524.0	411.6
total_instances_5	515.0	611.0	478.0	376.0
total_instances_6	558.4	649.8	434.6	337.2
total_instances_7	605.6	684.8	387.4	302.2
total_instances_8	640.6	715.8	352.4	271.2
total_instances_9	673.6	744.4	319.4	242.6
total_instances_10	707.6	769.2	285.4	217.8
total_instances_11	732.8	792.4	260.2	194.6
total_instances_12	759.0	812.6	234.0	174.4
total_instances_13	787.2	833.8	205.8	153.2
total_instances_14	808.0	850.6	185.0	136.4
total_instances_15	826.4	866.8	166.6	120.2
total_instances_16	845.6	886.0	147.4	101.0
total_instances_17	863.6	901.8	129.4	85.2
total_instances_18	881.8	915.2	111.2	71.8
total_instances_19	899.6	929.0	93.4	58.0
total_instances_20	918.0	944.2	75.0	42.8
total_instances_21	938.4	958.6	54.6	28.4
total_instances_22	951.4	968.8	41.6	18.2
total_instances_23	964.4	977.8	28.6	9.2
total_instances_24	973.4	982.8	19.6	4.2
total_instances_25	976.0	985.0	17.0	2.0
