test result name	both	lemma	feats	neither
total_instances_1	315.0	404.0	678.0	583.0
total_instances_2	367.6	483.4	625.4	503.6
total_instances_3	415.2	530.8	577.8	456.2
total_instances_4	472.8	584.2	520.2	402.8
total_instances_5	524.6	623.4	468.4	363.6
total_instances_6	560.2	654.8	432.8	332.2
total_instances_7	597.0	686.0	396.0	301.0
total_instances_8	642.4	717.4	350.6	269.6
total_instances_9	673.2	742.8	319.8	244.2
total_instances_10	704.6	767.2	288.4	219.8
total_instances_11	732.0	788.6	261.0	198.4
total_instances_12	756.4	809.6	236.6	177.4
total_instances_13	779.4	828.8	213.6	158.2
total_instances_14	803.0	846.0	190.0	141.0
total_instances_15	821.4	861.2	171.6	125.8
total_instances_16	840.8	880.8	152.2	106.2
total_instances_17	861.0	897.4	132.0	89.6
total_instances_18	880.8	916.6	112.2	70.4
total_instances_19	898.2	928.0	94.8	59.0
total_instances_20	916.8	943.8	76.2	43.2
total_instances_21	933.2	956.8	59.8	30.2
total_instances_22	949.0	967.2	44.0	19.8
total_instances_23	959.8	974.4	33.2	12.6
total_instances_24	969.8	981.2	23.2	5.8
total_instances_25	976.0	985.0	17.0	2.0
