test result name	both	lemma	feats	neither
total_instances_1	315.0	404.0	678.0	583.0
total_instances_2	376.6	471.6	616.4	515.4
total_instances_3	439.4	537.0	553.6	450.0
total_instances_4	493.4	590.8	499.6	396.2
total_instances_5	549.0	648.0	444.0	339.0
total_instances_6	598.8	693.4	394.2	293.6
total_instances_7	646.6	733.0	346.4	254.0
total_instances_8	684.4	767.2	308.6	219.8
total_instances_9	720.0	799.0	273.0	188.0
total_instances_10	751.2	827.0	241.8	160.0
total_instances_11	786.8	852.4	206.2	134.6
total_instances_12	814.6	875.0	178.4	112.0
total_instances_13	840.6	895.4	152.4	91.6
total_instances_14	861.0	913.0	132.0	74.0
total_instances_15	882.0	927.4	111.0	59.6
total_instances_16	895.4	938.6	97.6	48.4
total_instances_17	908.6	946.6	84.4	40.4
total_instances_18	924.4	954.8	68.6	32.2
total_instances_19	935.2	962.2	57.8	24.8
total_instances_20	946.4	967.6	46.6	19.4
total_instances_21	957.0	972.0	36.0	15.0
total_instances_22	963.6	975.2	29.4	11.8
total_instances_23	968.6	979.8	24.4	7.2
total_instances_24	972.4	982.4	20.6	4.6
total_instances_25	976.0	985.0	17.0	2.0
