test result name	both	lemma	feats	neither
test_1	315	404	678	583
test_2	361	479	632	508
test_3	398	535	595	452
test_4	454	574	539	413
test_5	507	600	486	387
test_6	562	649	431	338
test_7	600	686	393	301
test_8	640	721	353	266
test_9	677	743	316	244
test_10	704	767	289	220
test_11	737	789	256	198
test_12	775	815	218	172
test_13	795	830	198	157
test_14	819	851	174	136
test_15	832	870	161	117
test_16	849	878	144	109
test_17	855	892	138	95
test_18	880	913	113	74
test_19	891	922	102	65
test_20	923	940	70	47
test_21	938	955	55	32
test_22	946	964	47	23
test_23	965	976	28	11
test_24	972	984	21	3
test_25	976	985	17	2
