test result name	overall	both	lemma	feats	neither
test_1	0.2541	0.3702	0.1665	0.1446	0.0714
test_2	0.3101	0.4571	0.1989	0.1807	0.0714
test_3	0.3803	0.5474	0.2389	0.3855	0.1286
test_4	0.4155	0.5937	0.2659	0.3855	0.1714
test_5	0.4425	0.6242	0.2843	0.4699	0.2000
test_6	0.4740	0.6761	0.3016	0.4699	0.2000
test_7	0.4827	0.6885	0.3081	0.4699	0.2000
test_8	0.5137	0.7178	0.3416	0.5060	0.2143
test_9	0.5143	0.7156	0.3492	0.4940	0.1714
test_10	0.5188	0.7280	0.3416	0.4940	0.2429
test_11	0.5229	0.7280	0.3481	0.5301	0.2286
test_12	0.5372	0.7302	0.3730	0.5542	0.2429
test_13	0.5402	0.7483	0.3643	0.5663	0.2000
test_14	0.5479	0.7528	0.3762	0.5422	0.2286
test_15	0.5463	0.7562	0.3697	0.5542	0.2143
test_16	0.5484	0.7528	0.3751	0.5663	0.2286
test_17	0.5474	0.7494	0.3751	0.5663	0.2429
test_18	0.5550	0.7517	0.3892	0.5663	0.2429
test_19	0.5402	0.7551	0.3589	0.5301	0.2286
test_20	0.5356	0.7472	0.3535	0.5663	0.2286
test_21	0.5418	0.7517	0.3665	0.5181	0.2286
test_22	0.5489	0.7607	0.3719	0.5301	0.2286
test_23	0.5346	0.7427	0.3568	0.5663	0.2143
test_24	0.5351	0.7381	0.3600	0.5663	0.2429
test_25	0.5387	0.7449	0.3643	0.5542	0.2143
