test result name	both	lemma	feats	neither
total_instances_1	307.0	333.0	662.0	662.0
total_instances_2	373.8	398.8	595.2	596.2
total_instances_3	439.4	465.2	529.6	529.8
total_instances_4	498.4	524.6	470.6	470.4
total_instances_5	549.8	572.2	419.2	422.8
total_instances_6	593.2	614.6	375.8	380.4
total_instances_7	628.4	648.0	340.6	347.0
total_instances_8	658.0	673.8	311.0	321.2
total_instances_9	686.4	698.8	282.6	296.2
total_instances_10	709.4	724.0	259.6	271.0
total_instances_11	734.0	747.0	235.0	248.0
total_instances_12	760.0	767.6	209.0	227.4
total_instances_13	777.8	786.6	191.2	208.4
total_instances_14	795.8	806.8	173.2	188.2
total_instances_15	811.2	823.6	157.8	171.4
total_instances_16	823.4	836.0	145.6	159.0
total_instances_17	834.8	851.0	134.2	144.0
total_instances_18	843.4	862.8	125.6	132.2
total_instances_19	852.4	874.4	116.6	120.6
total_instances_20	862.0	885.0	107.0	110.0
total_instances_21	868.8	897.8	100.2	97.2
total_instances_22	876.0	907.2	93.0	87.8
total_instances_23	881.4	914.0	87.6	81.0
total_instances_24	884.2	921.0	84.8	74.0
total_instances_25	886.0	925.0	83.0	70.0
