test result name	both	lemma	feats	neither
total_instances_1	307.0	333.0	662.0	662.0
total_instances_2	367.4	400.8	601.6	594.2
total_instances_3	429.4	465.4	539.6	529.6
total_instances_4	487.6	520.6	481.4	474.4
total_instances_5	536.0	567.0	433.0	428.0
total_instances_6	577.2	604.0	391.8	391.0
total_instances_7	619.2	643.4	349.8	351.6
total_instances_8	652.0	671.2	317.0	323.8
total_instances_9	684.4	702.0	284.6	293.0
total_instances_10	718.8	727.8	250.2	267.2
total_instances_11	742.2	751.0	226.8	244.0
total_instances_12	763.0	771.8	206.0	223.2
total_instances_13	782.2	794.4	186.8	200.6
total_instances_14	799.8	810.2	169.2	184.8
total_instances_15	810.6	824.6	158.4	170.4
total_instances_16	823.4	837.6	145.6	157.4
total_instances_17	835.2	851.8	133.8	143.2
total_instances_18	844.4	860.8	124.6	134.2
total_instances_19	853.8	875.0	115.2	120.0
total_instances_20	862.2	888.0	106.8	107.0
total_instances_21	868.4	898.2	100.6	96.8
total_instances_22	874.0	904.2	95.0	90.8
total_instances_23	878.0	912.0	91.0	83.0
total_instances_24	883.0	919.0	86.0	76.0
total_instances_25	886.0	925.0	83.0	70.0
