test result name	both	lemma	feats	neither
total_instances_1	307.0	333.0	662.0	662.0
total_instances_2	360.8	394.2	608.2	600.8
total_instances_3	411.2	442.8	557.8	552.2
total_instances_4	458.2	494.0	510.8	501.0
total_instances_5	499.0	539.8	470.0	455.2
total_instances_6	538.4	578.2	430.6	416.8
total_instances_7	573.8	613.4	395.2	381.6
total_instances_8	606.0	644.2	363.0	350.8
total_instances_9	644.0	678.4	325.0	316.6
total_instances_10	672.2	704.8	296.8	290.2
total_instances_11	697.4	727.6	271.6	267.4
total_instances_12	720.6	752.4	248.4	242.6
total_instances_13	742.2	772.4	226.8	222.6
total_instances_14	764.2	795.2	204.8	199.8
total_instances_15	782.4	811.0	186.6	184.0
total_instances_16	799.6	829.0	169.4	166.0
total_instances_17	812.8	843.6	156.2	151.4
total_instances_18	821.0	857.2	148.0	137.8
total_instances_19	833.2	870.4	135.8	124.6
total_instances_20	840.2	881.0	128.8	114.0
total_instances_21	850.2	892.6	118.8	102.4
total_instances_22	860.8	900.6	108.2	94.4
total_instances_23	871.6	909.8	97.4	85.2
total_instances_24	878.8	918.4	90.2	76.6
total_instances_25	886.0	925.0	83.0	70.0
