test result name	both	lemma	feats	neither
test_1	307	333	662	662
test_2	384	407	585	588
test_3	453	469	516	526
test_4	506	529	463	466
test_5	560	580	409	415
test_6	597	620	372	375
test_7	638	649	331	346
test_8	678	678	291	317
test_9	707	707	262	288
test_10	740	739	229	256
test_11	758	765	211	230
test_12	768	783	201	212
test_13	782	798	187	197
test_14	798	815	171	180
test_15	814	826	155	169
test_16	831	835	138	160
test_17	838	858	131	137
test_18	844	869	125	126
test_19	855	875	114	120
test_20	865	891	104	104
test_21	868	899	101	96
test_22	871	905	98	90
test_23	877	913	92	82
test_24	883	920	86	75
test_25	886	925	83	70
