test result name	overall	both	lemma	feats	neither
test_1	5.675999999998904e-05	0.0009674818597150692	0.00021224489795923507	4.309753311992903e-05	0.00029201063706785213
test_2	5.75999999985477e-06	0.00015049717817805508	0.0001632653061223177	1.58780385179913e-05	5.364782055705675e-06
test_3	0.00010735999999988977	0.0002794947594730868	0.0009306122448978771	4.745265225603035e-05	0.00036332523991222665
test_4	6.135999999989927e-05	0.0006449879064769348	0.00044081632653081293	1.9688767761927295e-05	0.00013180714533467253
test_5	9.739999999869298e-06	0.0004944907282987687	0.0003265306122449685	7.712190137287855e-06	6.12325124290658e-05
test_6	2.856000000006631e-05	0.0002794947594731978	0.0006204081632655845	1.2067309273500193e-05	0.00011349288935158519
test_7	6.180000000000074e-05	0.0001719967750607454	0.0005224489795916387	7.530726839899415e-06	0.00022772574864138306
test_8	4.8940000000219364e-05	6.449879064751585e-05	0.00011428571428573342	1.1613651030417671e-05	0.00016233090530681782
test_9	8.05999999997642e-06	4.299919376504757e-05	0.0001306122448980762	1.1341456084501544e-05	7.186958029814505e-05
test_10	5.9540000000080084e-05	4.299919376504757e-05	4.897959183658429e-05	8.438043326619571e-06	0.0001956295525493701
test_11	6.846000000026997e-05	4.2999193765158594e-05	0.0002122448979593461	1.0434139597559344e-05	0.00032392184067497887
test_12	6.784000000026325e-05	6.449879064762687e-05	0.00019591836734678125	7.893653434343229e-06	0.00022985316221546537
test_13	2.4240000000341766e-05	6.449879064751585e-05	0.00024489795918380963	3.447802649492182e-06	7.464446756855203e-05
test_14	1.6660000000001673e-05	0.0001719967750601903	0.0007673469387755594	8.438043326730593e-06	2.9136316337163848e-05
test_15	2.2339999999676508e-05	0.00010749798441256342	4.897959183658429e-05	7.530726839899415e-06	0.00010933055844608575
test_16	3.033999999979553e-05	4.2999193765158594e-05	0.0005224489795918608	9.708286408227629e-06	0.0001063706786911256
test_17	3.469999999994311e-05	6.449879064751585e-05	0.00011428571428573342	1.977949941078805e-05	0.00010470574632892582
test_18	9.699999999890352e-06	6.449879064762687e-05	0.00011428571428573342	5.4438989204319554e-06	3.3113654757666033e-05
test_19	1.840000000030706e-06	0.000150497178177722	0.0004571428571430447	8.34731167786984e-06	1.5076887501352942e-05
test_20	7.753999999993155e-05	0.00015049717817783304	0.0005224489795917497	6.532678704651573e-06	0.00025575211007056176
test_21	5.240000000017453e-06	0.00017199677506041233	8.163265306126988e-05	3.7925829145524226e-05	3.255867730356243e-05
test_22	3.359999999996699e-05	0.0002794947594731978	0.00021224489795901302	1.1976577625083529e-05	0.00011534281419822712
test_23	8.535999999992328e-05	0.0001074979844124524	0.00027755102040805113	2.0596084248758473e-05	0.00027748872702038074
test_24	1.3339999999861796e-05	6.449879064762687e-05	0.00019591836734678125	7.984385083203982e-06	5.3925309283942013e-05
test_25	3.394000000001007e-05	0.00017199677506041233	0.00021224489795923507	1.2974625760442393e-05	0.00010711064863000441
