test result name	overall	both	lemma	feats	neither
test_1	5.675999999998904e-05	0.0009674818597150692	0.00021224489795923507	4.309753311992903e-05	0.00029201063706785213
test_2	4.914000000000307e-05	0.0002794947594733088	0.0003755102040815528	5.48926474475131e-05	3.4408602150537426e-05
test_3	7.194000000032563e-05	0.00017199677506063438	0.00040816326530612734	5.852191339450474e-05	0.0003055150884493374
test_4	2.5259999999915905e-05	0.0006879871002417604	4.897959183691736e-05	2.9034127575600088e-05	0.00015863105561331192
test_5	7.994000000011159e-05	0.0002794947594731978	0.0001142857142856224	1.8872182924067893e-05	0.00019498207885282337
test_6	8.584000000022574e-05	0.0001719967750601903	0.0001959183673470033	1.5696575220491837e-05	0.000272123944964453
test_7	6.399999998851769e-07	6.449879064762687e-05	0.00027755102040805113	1.0252676300170904e-05	1.3874436350924668e-06
test_8	8.499999999966867e-06	1.1102230246251565e-16	0.000653061224489937	3.1756077032429886e-06	3.838594057103961e-05
test_9	2.3139999999921557e-05	4.2999193765158594e-05	0.0001142857142856224	2.4497545140222954e-06	0.00013023470921480484
test_10	9.100000000006325e-05	0.00015049717817783304	0.000359183673469321	1.9688767762038317e-05	0.0003151346976528746
test_11	6.059999999807886e-06	0.00010749798441289649	3.265306122446354e-05	1.4789258733771682e-05	2.340154931224081e-05
test_12	1.9739999999823787e-05	6.449879064762687e-05	3.265306122435252e-05	8.891701570146182e-06	0.00013939183720657056
test_13	1.0439999999722893e-05	0.0003224939532380233	0.00019591836734678125	1.678535500437839e-05	2.2476586888697803e-05
test_14	1.8560000000000798e-05	0.0001504971781781661	0.0001306122448980762	1.515218532843754e-05	0.00012348248352389568
test_15	6.773999999987179e-05	4.2999193765158594e-05	0.00044081632653036884	4.155509509262689e-05	0.00013643195745172143
test_16	2.3240000000201988e-05	6.449879064751585e-05	0.00019591836734678125	5.262435622821471e-06	6.317493351826187e-05
test_17	6.800000000084516e-06	0.00017199677506041233	0.000359183673469321	1.3881942247162549e-05	8.972135506879475e-06
test_18	6.940000000010826e-06	0.00021499596882557093	0.0002122448979593461	1.088779783886551e-06	2.2846571858026188e-05
test_19	1.523999999986092e-05	0.0002794947594731978	4.8979591836806335e-05	4.808777379516904e-06	8.759394149626676e-05
test_20	2.5599999998737744e-06	0.0002794947594730868	0.00019591836734678125	7.439995191371729e-06	4.902300844045193e-06
test_21	1.6399999999139325e-06	6.449879064751585e-05	0.0001142857142856224	7.439995191038662e-06	1.082206035396549e-05
test_22	1.1299999999936361e-05	6.449879064751585e-05	0.00011428571428573342	9.073164866091332e-07	5.429529425371449e-05
test_23	4.6140000000027825e-05	0.0002794947594731978	8.163265306126988e-05	1.7511208193821126e-05	0.00021301884610958055
test_24	3.069999999993911e-05	4.2999193765158594e-05	0.00016326530612242873	1.5696575220269793e-05	8.861140016191982e-05
test_25	2.7100000000168656e-05	0.00032249395323857843	0.00011428571428573342	3.6292659467696e-06	0.00015002890507587185
