test result name	both	lemma	feats	neither
total_instances_1	5.0	12.0	922.0	1061.0
total_instances_2	6.2	13.6	942.2	1038.0
total_instances_3	10.2	16.2	957.2	1016.4
total_instances_4	14.0	19.4	960.0	1006.6
total_instances_5	17.8	20.8	958.6	1002.8
total_instances_6	21.6	23.6	959.2	995.6
total_instances_7	24.0	25.8	959.6	990.6
total_instances_8	25.6	27.6	961.2	985.6
total_instances_9	28.0	30.2	961.6	980.2
total_instances_10	30.8	32.8	964.2	972.2
total_instances_11	33.4	35.4	962.4	968.8
total_instances_12	35.0	37.8	961.6	965.6
total_instances_13	36.0	40.2	961.0	962.8
total_instances_14	38.8	41.8	958.2	961.2
total_instances_15	39.8	44.4	957.4	958.4
total_instances_16	42.0	46.0	956.4	955.6
total_instances_17	43.8	48.6	954.6	953.0
total_instances_18	45.8	51.4	954.0	948.8
total_instances_19	47.2	53.4	952.8	946.6
total_instances_20	50.0	55.8	950.0	944.2
total_instances_21	51.4	57.6	948.6	942.4
total_instances_22	53.6	60.0	946.4	940.0
total_instances_23	56.2	63.8	943.8	936.2
total_instances_24	58.4	67.0	941.6	933.0
total_instances_25	61.0	70.0	939.0	930.0
