test result name	both	lemma	feats	neither
total_instances_1	5.0	12.0	922.0	1061.0
total_instances_2	6.2	13.2	944.0	1036.6
total_instances_3	12.0	16.0	956.6	1015.4
total_instances_4	16.8	19.0	956.2	1008.0
total_instances_5	19.4	21.0	959.2	1000.4
total_instances_6	21.2	23.0	961.2	994.6
total_instances_7	22.8	26.0	965.6	985.6
total_instances_8	25.4	28.8	967.0	978.8
total_instances_9	27.0	32.2	968.4	972.4
total_instances_10	29.0	34.6	967.6	968.8
total_instances_11	32.6	37.0	964.4	966.0
total_instances_12	35.0	39.2	962.6	963.2
total_instances_13	36.0	42.2	961.6	960.2
total_instances_14	39.0	44.2	960.6	956.2
total_instances_15	42.6	46.4	957.4	953.6
total_instances_16	44.6	49.6	955.4	950.4
total_instances_17	46.8	51.4	953.2	948.6
total_instances_18	49.2	53.0	950.8	947.0
total_instances_19	50.2	57.2	949.8	942.8
total_instances_20	53.8	60.0	946.2	940.0
total_instances_21	55.4	62.4	944.6	937.6
total_instances_22	57.2	64.2	942.8	935.8
total_instances_23	59.0	67.2	941.0	932.8
total_instances_24	60.6	68.2	939.4	931.8
total_instances_25	61.0	70.0	939.0	930.0
