test result name	both	lemma	feats	neither
total_instances_1	5.0	12.0	922.0	1061.0
total_instances_2	8.2	14.2	948.0	1029.6
total_instances_3	10.2	15.8	959.2	1014.8
total_instances_4	13.0	17.2	964.8	1005.0
total_instances_5	14.4	19.4	967.6	998.6
total_instances_6	16.4	22.2	968.8	992.6
total_instances_7	18.8	24.2	968.6	988.4
total_instances_8	21.8	27.4	969.0	981.8
total_instances_9	24.6	29.2	969.0	977.2
total_instances_10	28.2	33.0	965.4	973.4
total_instances_11	30.2	35.0	965.2	969.6
total_instances_12	32.6	36.4	963.2	967.8
total_instances_13	36.0	39.0	961.2	963.8
total_instances_14	39.8	43.6	958.0	958.6
total_instances_15	42.8	46.6	955.0	955.6
total_instances_16	45.8	48.8	953.4	952.0
total_instances_17	47.4	50.6	952.0	950.0
total_instances_18	49.6	52.0	949.8	948.6
total_instances_19	52.0	55.2	947.6	945.2
total_instances_20	54.0	57.6	945.6	942.8
total_instances_21	54.8	60.4	944.8	940.0
total_instances_22	55.8	62.6	943.8	937.8
total_instances_23	57.4	65.6	942.2	934.8
total_instances_24	58.4	68.4	941.6	931.6
total_instances_25	61.0	70.0	939.0	930.0
