test result name	both	lemma	feats	neither
test_1	5	12	922	1061
test_2	5	12	944	1039
test_3	7	16	962	1015
test_4	14	20	957	1009
test_5	19	22	959	1000
test_6	23	25	962	990
test_7	25	24	965	986
test_8	28	26	962	984
test_9	29	26	964	981
test_10	31	32	965	972
test_11	33	33	963	971
test_12	36	35	961	968
test_13	36	38	961	965
test_14	37	39	960	964
test_15	39	43	958	960
test_16	39	45	959	957
test_17	41	47	957	955
test_18	45	51	953	951
test_19	47	54	951	948
test_20	49	54	951	946
test_21	51	58	949	942
test_22	55	61	945	939
test_23	55	64	945	936
test_24	58	65	942	935
test_25	61	70	939	930
