index	lemma	avg_lemma_similarity	avg_feature_similarity	information_density
0	مُنْهار	0.13361652747800168	0.3300298779407894	0.23182320270939555
1	رَتِيب	0.14635838407299867	0.35156128342124154	0.2489598337471201
2	دَرّاس	0.13759884657950758	0.33671210111014793	0.23715547384482777
3	قارَن	0.14289488700910066	0.24913038935876775	0.19601263818393422
4	مَرْجِعِيَّة	0.1003950342965181	0.37081885085658667	0.23560694257655238
5	مُتَآمِر	0.12914519150349896	0.33277768485895515	0.23096143818122705
6	مُتَطَلِّب	0.1150953792831616	0.3660227394882785	0.24055905938572006
7	مُخْتَنِق	0.12288402175883038	0.36993322306610454	0.24640862241246747
8	مُصَدِّر	0.1321579519737518	0.36659897061399555	0.24937846129387367
9	تايْلَنْدِيّ	0.09688166337190952	0.3951046654776793	0.2459931644247944
10	تَهْنِئَة	0.11999456341846386	0.3151014107577642	0.21754798708811404
11	دِينِيّ	0.13377818862065918	0.3129187406716176	0.2233484646461384
12	رادِع	0.14510994552667836	0.2925268194058034	0.21881838246624086
13	ٱِسْتِشارِيّ	0.09812538455228816	0.35674539333595207	0.2274353889441201
14	مُراقَب	0.13634202797813008	0.3489793249123203	0.2426606764452252
15	أَضْفَى	0.13759567075327758	0.21267031752028293	0.17513299413678024
16	مَرِيض	0.1513716664325046	0.3400767163562852	0.24572419139439491
17	نَسِيجِيّ	0.12078582731191094	0.3571132038037769	0.23894951555784394
18	نَفْي	0.14872183621975119	0.3342270810722971	0.24147445864602413
19	ٱِنْتَخَب	0.11458823301605765	0.28007396534805634	0.197331099182057
20	سَرِب	0.15175898030957272	0.282947237003724	0.21735310865664836
21	رَدّ	0.14700505038477982	0.23907831781604355	0.19304168410041167
22	بَيْرُوتِيّ	0.10590810349103379	0.39751402806762415	0.25171106577932895
23	هُوِيَّة	0.12724776543121	0.3547644782741165	0.24100612185266324
24	صالُون	0.12750561680174605	0.2877737356082878	0.20763967620501692
25	طاعِن	0.14343064142613737	0.25335254517451355	0.19839159330032546
26	طاوِلَة	0.13004999112683277	0.31339149680466016	0.22172074396574648
27	مُكْرَه	0.13762497966740014	0.34604252894882076	0.24183375430811044
28	مَبْرُور	0.12938168127365945	0.3544791364122385	0.24193040884294897
29	تَعَدَّى	0.1284167683224351	0.24155660012172386	0.18498668422207948
30	أَشْرَف	0.13957422159622226	0.2279500344203671	0.18376212800829467
31	بَدائِيَّة	0.11399241929746834	0.35102788486486	0.23251015208116416
32	مَحْظُوظ	0.12573433562973124	0.3280971375209719	0.22691573657535158
33	قَطَّع	0.1418007750572954	0.22722760762196936	0.18451419133963237
34	شارِب	0.14636411910957342	0.29525506854667716	0.2208095938281253
35	خَيْمَة	0.1376903499715612	0.30350966130957957	0.2206000056405704
36	مُنْتَصِب	0.12375379431555092	0.36745503505085425	0.2456044146832026
37	كابِل	0.14447547044646278	0.28389490181850885	0.21418518613248583
38	ٱِنْحِناء	0.1120785127432044	0.30381155705878427	0.20794503490099434
39	يَراعَة	0.13557535910219343	0.3124467987745336	0.2240110789383635
40	مُقَيَّد	0.132831156128786	0.3413249331164921	0.23707804462263904
41	أَوْسَع	0.13836918253904135	0.27803895677612755	0.20820406965758445
42	يَقِينِيّ	0.12081117563697572	0.35888178993055464	0.2398464827837652
43	أَمِير	0.14821030269021288	0.34420932850101316	0.246209815595613
44	هِراوَة	0.12959240339219916	0.3364385182671677	0.23301546082968344
45	خالِد	0.144583944421414	0.2977929930224427	0.22118846872192838
46	كُلْوَة	0.1326729707939047	0.3085361460002932	0.22060455839709897
47	مُناخِيّ	0.13606457950931622	0.35648818950655115	0.24627638450793368
48	نَعِيم	0.14667818614309275	0.36572507191638964	0.2562016290297412
49	ٱِسْتِشارِيّ	0.09812538455228816	0.35644011834047706	0.2272827514463826
50	أَنْدَلُسِيّ	0.09904624556233019	0.3903365554423081	0.24469140050231913
51	مَيْؤُوس	0.12552540345505486	0.34796817393295615	0.2367467886940055
52	شَكَّل	0.1425003088956858	0.18661905692156175	0.16455968290862377
53	تَفاعُل	0.13070737351033754	0.32125888531472235	0.22598312941252996
54	مُناهِض	0.13630598208444283	0.3149651081730838	0.22563554512876333
55	خَفِيف	0.1448012305155121	0.3079217621771155	0.2263614963463138
56	حَيَّر	0.14443163918198698	0.2769610220444801	0.21069633061323353
57	ٱِحْتِياطِيّ	0.09708172076483391	0.32901407268926686	0.21304789672705038
58	نِقابِيّ	0.12987342064687732	0.3440361390420349	0.23695477984445612
59	مُصْطاف	0.13090609497927105	0.31186036266663303	0.22138322882295203
60	بُطُولِيّ	0.11695535206953774	0.3286164279793689	0.22278589002445331
61	مِصْفاة	0.12966149628926613	0.3016521657377252	0.21565683101349564
62	مُخَدَّر	0.1324918185512564	0.34149314768375055	0.23699248311750348
63	سَرَّب	0.1450825273983273	0.25885701816159845	0.20196977277996286
64	أُورُوِيّ	0.11844573255641633	0.31133174412442227	0.2148887383404193
65	نُزْهَة	0.1317015586143745	0.2877451913222209	0.20972337496829768
66	مُخَضْرَم	0.1203652948152014	0.3397096662865322	0.2300374805508668
67	تَكْوِينِيّ	0.10679849312954942	0.3693052222659473	0.23805185769774836
68	تَحْضِيرِيّ	0.10696459686708176	0.3688714181519304	0.2379180075095061
69	مُعْلِن	0.13931234903896675	0.3236613533493034	0.2314868511941351
70	مُزْمِع	0.1375660761975118	0.29605645635424893	0.21681126627588038
71	مُعاصِر	0.13774894374577423	0.3443741595104803	0.24106155162812726
72	ٱِشْتَرَك	0.11482481275755459	0.2821435578852687	0.19848418532141163
73	رَجْفَة	0.13745979484018944	0.2896467256078514	0.2135532602240204
74	تَفَكُّر	0.12357118518488222	0.3261202553034503	0.22484572024416627
75	قاب	0.13674315644827714	0.25692020321205167	0.19683167983016442
76	تَكَتُّم	0.12335813960728954	0.34154151358034796	0.23244982659381874
77	مَخْرَج	0.14194450387749455	0.32466105828606634	0.23330278108178043
78	مُجْمَل	0.13813017310891648	0.3499460799593069	0.24403812653411167
79	شَبِع	0.14866728329180465	0.2504532062985276	0.1995602447951661
80	حَفّ	0.1457735480953804	0.23632468213278082	0.19104911511408063
81	مُرْبِك	0.13886867286183538	0.3137110880679276	0.22628988046488147
82	سَنَوِيّ	0.13538579828794495	0.36356148586595305	0.249473642076949
83	عِبارَة	0.13046192407543905	0.3314641966714943	0.23096306037346667
84	فَنّان	0.13682689034683745	0.30950044076805766	0.22316366555744754
85	مُنْسَجِم	0.12224536451490564	0.35770431612558595	0.2399748403202458
86	مُتَأَنِّي	0.11667364881233856	0.38644398494659826	0.2515588168794684
87	مَوْضُوع	0.1265824727401622	0.3280548063936464	0.22731863956690432
88	مُنَسَّق	0.1318396671580502	0.32704493737409057	0.22944230226607037
89	مُعْتَمِد	0.12412953635240323	0.3765938909496756	0.25036171365103943
90	مُحَرَّم	0.13413315197288656	0.3436043195441297	0.23886873575850812
91	ٱِسْتِحالَة	0.09977145060492282	0.32885919550195397	0.2143153230534384
92	قاطِن	0.1431485139853168	0.290379477302757	0.2167639956440369
93	مُنْشَقّ	0.13012713888692856	0.3351725007817498	0.2326498198343392
94	خَفِيف	0.1448012305155121	0.3272051585315618	0.23600319452353696
95	مَجَرِيّ	0.14026206332423682	0.357800492577111	0.24903127795067392
96	مُناخِيّ	0.13606457950931622	0.3331091869391411	0.23458688322422866
97	مَسْكُونِيّ	0.10870068051265042	0.39855017986605523	0.2536254301893528
98	لائِمَة	0.12944479396804354	0.3289402340361816	0.22919251400211257
99	دَرَس	0.1480189560953013	0.23171984444207097	0.18986940026868615
100	باراغُوائِيّ	0.09181533076765462	0.3349515087117485	0.21338341973970157
101	مُتَّفِق	0.1265864525261895	0.37899038490808035	0.2527884187171349
102	مُتَّخَذ	0.12320767108648081	0.3168391112987554	0.2200233911926181
103	نُطْفَة	0.13223212374112236	0.29850311787174566	0.215367620806434
104	سائِق	0.14393459284690804	0.27103762065194975	0.2074861067494289
105	مُتَضَرِّر	0.11557529424882428	0.3777785587321316	0.24667692649047795
106	خَطِّيّ	0.1406172345370513	0.34464041791390665	0.242628826225479
107	شَفَة	0.14733087658881558	0.25655065712773756	0.20194076685827655
108	ٱِعْتَمَر	0.11576801395079693	0.3222505372942084	0.21900927562250266
109	ناظِر	0.14495833341890726	0.28027266808736234	0.2126155007531348
110	أَخْلَى	0.13849199919378036	0.22095333752145319	0.17972266835761677
111	مُجِيب	0.14317602347273603	0.3049766120789765	0.22407631777585624
112	سَرَد	0.15001786867722763	0.18475529901607912	0.1673865838466534
113	مُمْتَدّ	0.13105250586497053	0.35212843171234676	0.24159046878865864
114	بَنَوِيّ	0.13523362877421533	0.3713110030330157	0.2532723159036155
115	يَدَوِيّ	0.13415766920934108	0.3582920412156592	0.24622485521250015
116	تَبْيِيض	0.13387977204029486	0.3591659076732112	0.24652283985675305
117	نَصْرانِيّ	0.11787653040778352	0.37488536698214064	0.24638094869496208
118	فَكَّة	0.14257783418709474	0.2729778826767578	0.20777785843192628
119	مُصاب	0.1398472339462476	0.28309555967700856	0.21147139681162808
120	جَماعِيّ	0.13536184232133228	0.3840956530035851	0.2597287476624587
121	إِشْراف	0.12617449644870615	0.3204216773485697	0.22329808689863792
122	عِبارَة	0.13046192407543905	0.3456631867499587	0.23806255541269888
123	خَصَّص	0.14065698735042814	0.21366654769991628	0.1771617675251722
124	آلِيّ	0.14164872790893523	0.301398474904126	0.22152360140653063
125	سَكَب	0.14700821426562338	0.21231981924302132	0.17966401675432236
126	جادّ	0.139491218991968	0.2721904982207727	0.20584085860637036
127	مُنْتَدَب	0.12138064145481918	0.34009914416700904	0.23073989281091412
128	قائِم	0.1441297409042	0.30100498427890615	0.22256736259155308
129	مُبَكِّر	0.13192400753660685	0.37526346780194375	0.2535937376692753
