index	lemma	information density
0	مُنْهار	0.33014153962779924
1	رَتِيب	0.3516693565406714
2	دَرّاس	0.33682264909329623
3	قارَن	0.24925553429387465
4	مَرْجِعِيَّة	0.37092371438144384
5	مُتَآمِر	0.3328888885781453
6	مُتَطَلِّب	0.36612840236503047
7	مُخْتَنِق	0.3700382341955936
8	مُصَدِّر	0.3667045374522265
9	تايْلَنْدِيّ	0.39520548136676636
10	تَهْنِئَة	0.3152155605226379
11	دِينِيّ	0.313033254214839
12	رادِع	0.2926447316025691
13	ٱِسْتِشارِيّ	0.3568526024370628
14	مُراقَب	0.34908782835816826
15	أَضْفَى	0.21280153913402955
16	مَرِيض	0.34018670357022585
17	نَسِيجِيّ	0.35722035160314297
18	نَفْي	0.33433804322545163
19	ٱِنْتَخَب	0.2801939530204983
20	سَرِب	0.2830667457975567
21	رَدّ	0.2392051380964075
22	بَيْرُوتِيّ	0.39761444239627963
23	هُوِيَّة	0.35487201752773745
24	صالُون	0.2878924399856865
25	طاعِن	0.2536436530836511
26	طاوِلَة	0.3135059315551927
27	مُكْرَه	0.34615152186066267
28	مَبْرُور	0.35458672322283646
29	تَعَدَّى	0.2416830073550369
30	أَشْرَف	0.22807870941463038
31	بَدائِيَّة	0.3511360468840491
32	مَحْظُوظ	0.3282091213313851
33	قَطَّع	0.22735640302069907
34	شارِب	0.29537252603525277
35	خَيْمَة	0.3036257430326947
36	مُنْتَصِب	0.3675604592116792
37	كابِل	0.28401425266820574
38	ٱِنْحِناء	0.30392758846594115
39	يَراعَة	0.31256139097473773
40	مُقَيَّد	0.34143471229430605
41	أَوْسَع	0.27815928361666487
42	يَقِينِيّ	0.35898864296556615
43	أَمِير	0.3443186269462629
44	هِراوَة	0.33654911184745656
45	خالِد	0.2979100275236056
46	كُلْوَة	0.30865138997595987
47	مُناخِيّ	0.35659544147496675
48	نَعِيم	0.3658307844044035
49	ٱِسْتِشارِيّ	0.3565473783207537
50	أَنْدَلُسِيّ	0.3904381660164011
51	مَيْؤُوس	0.34807684590396737
52	شَكَّل	0.1867546204120748
53	تَفاعُل	0.3213720088338366
54	مُناهِض	0.31507928065505497
55	خَفِيف	0.3080371085500859
56	حَيَّر	0.277081528540806
57	ٱِحْتِياطِيّ	0.32912590367715194
58	نِقابِيّ	0.34414546635219456
59	مُصْطاف	0.3119750526061886
60	بُطُولِيّ	0.3287283252413723
61	مِصْفاة	0.30176855704343564
62	مُخَدَّر	0.3416028988258033
63	سَرَّب	0.25898054199190484
64	أُورُوِيّ	0.3114465221670682
65	نُزْهَة	0.28786390045700055
66	مُخَضْرَم	0.33981971467548444
67	تَكْوِينِيّ	0.3694103380622364
68	تَحْضِيرِيّ	0.36897660624890516
69	مُعْلِن	0.3237740764570784
70	مُزْمِع	0.2961737802781899
71	مُعاصِر	0.34448343048389524
72	ٱِشْتَرَك	0.2822632006256212
73	رَجْفَة	0.28976511782025005
74	تَفَكُّر	0.32623256859423305
75	قاب	0.25704404984484963
76	تَكَتُّم	0.3416512566614181
77	مَخْرَج	0.324773614776352
78	مُجْمَل	0.35005442227931366
79	شَبِع	0.2505781307641445
80	حَفّ	0.23645196135242533
81	مُرْبِك	0.3138254695532496
82	سَنَوِيّ	0.36366755895164216
83	عِبارَة	0.3315756193053824
84	فَنّان	0.30961552402792963
85	مُنْسَجِم	0.3578113654062318
86	مُتَأَنِّي	0.3865462442824406
87	مَوْضُوع	0.32816679725924747
88	مُنَسَّق	0.3271570965511949
89	مُعْتَمِد	0.37669779196785075
90	مُحَرَّم	0.34371371882420565
91	ٱِسْتِحالَة	0.3289710523027037
92	قاطِن	0.29049774738987316
93	مُنْشَقّ	0.3352833053649529
94	خَفِيف	0.3273172910051399
95	مَجَرِيّ	0.35790752582834817
96	مُناخِيّ	0.33322033540798457
97	مَسْكُونِيّ	0.3986504215027443
98	لائِمَة	0.3290520773305089
99	دَرَس	0.23184789113466395
100	باراغُوائِيّ	0.33506235012696317
101	مُتَّفِق	0.3790938865105957
102	مُتَّخَذ	0.3169529714468723
103	نُطْفَة	0.298620034018767
104	سائِق	0.27115911438184115
105	مُتَضَرِّر	0.37788226230567634
106	خَطِّيّ	0.34474964451092105
107	شَفَة	0.2566745653515496
108	ٱِعْتَمَر	0.3223634955379927
109	ناظِر	0.2803926226426811
110	أَخْلَى	0.22108317863186627
111	مُجِيب	0.30509244931029667
112	سَرَد	0.18489117313290981
113	مُمْتَدّ	0.3522364103070614
114	بَنَوِيّ	0.3714157845325102
115	يَدَوِيّ	0.35839899254212326
116	تَبْيِيض	0.3592727133552657
117	نَصْرانِيّ	0.3749895527543103
118	فَكَّة	0.27309905302964504
119	مُصاب	0.2832150437503957
120	جَماعِيّ	0.38419830372808444
121	إِشْراف	0.3205349404023449
122	عِبارَة	0.3457722428855005
123	خَصَّص	0.21379760327529967
124	آلِيّ	0.301514908491642
125	سَكَب	0.21245109927314748
126	جادّ	0.27231179980440257
127	مُنْتَدَب	0.3402091276429812
128	قائِم	0.301121483448193
129	مُبَكِّر	0.37536759055731006
130	مُفَرَّغ	0.34012299352490666
131	أَوْرَث	0.22915732085979437
132	سَكِينَة	0.3159928052979182
133	ٱِنْقِلابِيّ	0.3405152729036288
134	مُحِبّ	0.31674719966914644
135	أَقْلَع	0.23611204653200757
136	عالِم	0.31903777236456204
137	بَحَث	0.21001322883014079
138	ٱِنْتِكاس	0.30482968535602395
139	لِيبِيّ	0.3165283197226693
140	خَطّاب	0.2992526376060998
141	مَحْكُوم	0.33222927712641637
142	عَزِيز	0.3186385512125906
143	صَنَّف	0.1991804509935803
144	مُتَوَرِّط	0.3822260561483068
145	مِيثاقِيّ	0.33103949372933733
146	لامَس	0.23094121866907016
147	حَزِين	0.32583871345942944
148	مَهارَة	0.3103586653567921
149	بَحْرَيْنِيّ	0.3863056836629429
150	ٱِجْتَذَب	0.2691827810098295
151	حائِز	0.24665237499920512
152	مُسْتَشْهِد	0.36141739752740676
153	شِمالِيّ	0.3491499654994199
154	وَضَع	0.20463380070641685
155	قَسَّم	0.2616859368119762
156	كَذّاب	0.3052640728502456
157	لِيبِيرِيّ	0.3312902166646977
158	تِلْفِزيُونِيّ	0.33778699268749535
159	مُنَظَّم	0.32875053093871826
160	أَوْحَى	0.22978408761610922
161	مُعَلِّق	0.361562396739795
162	كِيمِيائِيّ	0.32467478623347895
163	عَقَب	0.21721973363895025
164	مارُونِيّ	0.3664775598013492
165	هِلالِيّ	0.32510314314161254
166	مُحافِظ	0.31615896246778136
167	مَلائِكِيّ	0.38168826032432224
168	تَرَيَّث	0.2694656954089232
169	إِسْتِقْواء	0.30218823177688675
170	تَأْلِيف	0.35050118748342485
171	وَرْدِيّ	0.3765698622674839
172	أُصُولِيّ	0.3121951866323998
173	مَحْسُوب	0.32773595638688585
174	رَشِيد	0.3606484683700545
175	مُتَراصّ	0.368666161232921
176	سِياسِيّ	0.31189560551934137
177	إِجْرائِيّ	0.3375082076663169
178	مُفَضَّل	0.3124883325422666
179	تَلْقِيم	0.379964044193093
180	مُجِيب	0.32262206444268404
181	ٱِسْتِخْدام	0.32030700202666573
182	ثَقافَة	0.272547885633896
183	مُتَأَتِّي	0.3797971358100006
184	مُعَرِّب	0.3624275428990691
185	ضَهْر	0.30169692250144736
186	أَجْرَد	0.2888760260736967
187	فِنْلَنْدِيّ	0.3848743500732384
188	حِسابِيّ	0.3322371832979692
189	هَزْلِيّ	0.34842513524803664
190	مُرَدِّد	0.3769019733247729
191	جاهِز	0.2613205808989525
192	مُرْتَبِط	0.37726971772961665
193	مُمِلّ	0.33735639253833233
194	مُضارِب	0.3000761847464424
195	مُتْعِب	0.3362244118483986
196	تَأَمَّل	0.27672717978695655
197	بُوسْنِيّ	0.35612521051876245
198	ذاكِر	0.301559747825531
199	ثُلاثِيّ	0.3477013010013608
200	لاغِي	0.2747658307916484
201	كَوْكَبَة	0.2799089367487072
202	مُكَرِّر	0.38319584353195263
203	مَغْمُود	0.3270258555080262
204	مُحايِد	0.33037280026134547
205	باطِنِيّ	0.3309580456955236
206	مُزْرِي	0.34428290717813553
207	حَصْرِيّ	0.3725241012066066
208	نُمُوّ	0.31544728241956427
209	مَحْمِيّ	0.40554954084470707
