index	lemma	avg_lemma_similarity	avg_feature_similarity	information_density
0	шон	0.1603200327112618	0.3829763472432681	0.271648189977265
1	заан	0.16595429306297704	0.42331340043141913	0.29463384674719806
2	ахиц	0.159385280959709	0.42120816947440415	0.2902967252170566
3	үүсэл	0.15543086869974168	0.4228290451589772	0.28912995692935944
4	эдэлгээ	0.13406311373055607	0.46023705197340453	0.2971500828519803
5	хими	0.15697620617607183	0.4040159389903631	0.28049607258321746
6	зүүлт	0.15134018109096717	0.4149095126622771	0.28312484687662215
7	нягтаршил	0.11365773055637692	0.47840823622785605	0.2960329833921165
8	гагнуурчин	0.1037548623146237	0.46411446312825055	0.28393466272143714
9	гуя	0.15790660183475363	0.40041134296755904	0.27915897240115634
10	царай	0.16176279083846687	0.4209060208204924	0.2913344058294796
11	титэм	0.1512751820052986	0.4063560861792782	0.2788156340922884
12	гүзээлзгэнэ	0.09391231973745426	0.4395091328901718	0.26671072631381304
13	зуун	0.15579442135534713	0.38846166445579566	0.2721280429055714
14	судар	0.15757433006140723	0.4419807285705574	0.29977752931598234
15	шүлэгч	0.1467511471137019	0.42234264259035514	0.28454689485202855
16	геологи	0.13175579259509668	0.43118594382064723	0.2814708682078719
17	сүсэг	0.15370571668704203	0.41370942619670326	0.28370757144187264
18	касс	0.15651538594945671	0.4049538373664219	0.2807346116579393
19	судлаач	0.13785350246426786	0.44249176981806426	0.29017263614116606
20	бичилт	0.14276058626783247	0.4172123706363383	0.2799864784520854
21	эшлэл	0.15751031302789362	0.4244923019904594	0.2910013075091765
22	исэлдэлт	0.12368047669764022	0.4388554863523444	0.2812679815249923
23	пальто	0.14245865726945328	0.4133963284439844	0.2779274928567188
24	чих	0.1580838934731224	0.39953123025158477	0.27880756186235356
25	саатал	0.15296950553659508	0.46749946425428995	0.31023448489544253
26	үсрэлт	0.14741067493192264	0.44854739182284215	0.2979790333773824
27	хөрөөдөх	0.11882621046230948	0.12016983554233437	0.11949802300232193
28	загас	0.16198127685875296	0.436849092916612	0.2994151848876825
29	зэвүүцэл	0.1209242295923335	0.3854426099035575	0.2531834197479455
30	нэмэгдэл	0.12430879857116935	0.4547524758678702	0.28953063721951977
31	чийг	0.15644486415031278	0.40434724107990366	0.28039605261510825
32	уцаар	0.15527549953703942	0.43170305831447564	0.29348927892575755
33	оюутан	0.142864525132398	0.40548593550848777	0.2741752303204429
34	байлдаан	0.12732122945491284	0.43624778558318683	0.2817845075190498
35	бүлүүр	0.14126693998338744	0.4311610772268994	0.2862140086051434
36	арга	0.17155204355571058	0.4842237265755567	0.3278878850656336
37	үнэлэлт	0.13532791318255258	0.4357011831724697	0.28551454817751115
38	шүүр	0.15532521876078959	0.3952939208777555	0.27530956981927257
39	гүжирдлэг	0.11357301086422278	0.4537137574456705	0.2836433841549466
40	мөхөл	0.15228431992892172	0.41695088086125465	0.2846176003950882
41	эвлэрэл	0.13555728596568403	0.4457639365970578	0.29066061128137094
42	зарга	0.16499956258665704	0.46045924997006504	0.31272940627836104
43	эвдчих	0.13869807472074078	0.143216664106055	0.14095736941339787
44	зугаалга	0.12829604088563404	0.46629384243841454	0.2972949416620243
45	хянагч	0.1464868178070325	0.42821523849847964	0.28735102815275604
46	он	0.16011572376799643	0.40645076545447784	0.2832832446112371
47	маркетинг	0.11128335279026867	0.4421745945069997	0.2767289736486342
48	хэвлэгч	0.13822586028370026	0.43832997293757453	0.2882779166106374
49	ялгаа	0.15705018990566066	0.4654686797927974	0.311259434849229
50	эзэмшил	0.13130416378457477	0.4048466595534621	0.26807541166901844
51	хараа	0.16761759521802572	0.4624886583988124	0.31505312680841907
52	хотжих	0.14200441628345825	0.11619801499883063	0.12910121564114443
53	хэрэгтэй	0.1252501068970422	0.4438979751401153	0.28457404101857875
54	бохь	0.15345014813676114	0.35867806743647485	0.256064107786618
55	нөхөөс	0.13845118042483837	0.39237705669270306	0.26541411855877073
56	гадаргуу	0.1247079585969351	0.4666920328238717	0.2956999957104034
57	жигшил	0.14364296591333836	0.42585167987411615	0.2847473228937273
58	гөлөг	0.1550667600259148	0.44875304459739623	0.3019099023116555
59	билет	0.15123508208188421	0.4050521989243008	0.2781436405030925
60	хүүхэлдэй	0.11245607201599683	0.4161545646394094	0.2643053183277031
61	хөлслөгч	0.12378271003874658	0.4328005624043547	0.2782916362215506
62	ялгадас	0.13472739129514993	0.45564357752936796	0.29518548441225895
63	сэдэгч	0.14462901566584987	0.4118703580638528	0.27824968686485135
64	арьс	0.16054647876618092	0.42481333578309444	0.29267990727463766
65	жолооч	0.14208083132070054	0.3995082335639688	0.27079453244233465
66	хурдатгал	0.12024050804263867	0.5006291520855174	0.310434830064078
67	олс	0.16247553542935847	0.4303108047750983	0.2963931701022284
68	боржин	0.14523351201963797	0.3947556977003459	0.26999460485999194
69	нэгтгэл	0.13605952584948808	0.4681285602723275	0.3020940430609078
70	маск	0.15693949555843056	0.3977210409287327	0.27733026824358165
71	ирвэгэнэх	0.10968576995414715	0.19339174081011898	0.15153875538213307
72	дэн	0.16333250800245036	0.4079240279518292	0.2856282679771398
73	гялгар	0.14867813004168504	0.48259372086300584	0.3156359254523454
74	маажин	0.14471072305294178	0.4140391777094122	0.279374950381177
75	мужаан	0.14550350050016211	0.407852031233108	0.27667776586663506
