index	lemma	avg_lemma_similarity	avg_feature_similarity	information_density
0	przepchać	0.10270073218430953	0.33992037771332034	0.22131055494881494
1	odludność	0.09717243808269531	0.2936613546327149	0.19541689635770512
2	pacać	0.11041393546469153	0.2942183960573884	0.20231616576103997
3	umotywować	0.10078598583527631	0.339992244160324	0.22038911499780015
4	omączać	0.1069599382432256	0.31728709724972287	0.21212351774647423
5	osiwić	0.10846724422959328	0.35678418339871715	0.2326257138141552
6	pisywać	0.11196272318364693	0.39919245822856114	0.25557759070610403
7	słownikarstwo	0.07880247172212276	0.40856847817113434	0.24368547494662857
8	wyskarżać się	0.08740155699026747	0.40785056400210334	0.2476260604961854
9	rozwścieklać	0.08792236443345022	0.44895393495265423	0.26843814969305224
10	dehumanizować	0.08677786404207379	0.42897327380742517	0.2578755689247495
11	hołotka	0.09842822120234525	0.2738200597724075	0.18612414048737635
12	pouwłaszczeniowy	0.07007027778962287	0.4410379274156979	0.25555410260266037
13	niemiędzygromadzkość	0.05834774965507278	0.4388739234902094	0.2486108365726411
14	unaturalnić	0.09153563083837667	0.355086091184134	0.22331086101125533
15	dętologia	0.09350528259802639	0.32139168968934	0.2074484861436832
16	jaworznicki	0.08780332430199984	0.3971277981144382	0.24246556120821902
17	niewilkowaty	0.08993575089963156	0.4129135827646532	0.2514246668321424
18	przesiąkra	0.09163322756959383	0.36849107773679163	0.23006215265319274
19	wypiękniać	0.0966947121894266	0.38397262895331663	0.24033367057137162
20	oziewać	0.11359045826075835	0.41452198897335507	0.2640562236170567
21	obwłóczyć	0.09522498604070083	0.32370364382743155	0.2094643149340662
22	szpinetowość	0.08811260095965724	0.4184693460650385	0.25329097351234786
23	naziemny	0.098597687392484	0.34483383120833005	0.22171575930040704
24	karnawałować	0.09142114594469847	0.3880594503082225	0.23974029812646047
25	wypośrodkowywać	0.07720955399736754	0.40866818121558685	0.2429388676064772
26	popiec	0.09950894083011272	0.2977537026076775	0.19863132171889508
27	przyorywać się	0.08818874081194486	0.46642439580307177	0.2773065683075083
28	drugoletni	0.08967889345406567	0.3434714478289389	0.21657517064150228
29	zmutować się	0.09505614830556956	0.39939108469165147	0.24722361649861052
30	ludwisarstwo	0.08164338611512865	0.3903613752684986	0.23600238069181365
31	rzęzić	0.10492525306262226	0.33852819885766583	0.22172672596014403
32	zwiędnąć	0.09816588880379339	0.33979094540931554	0.21897841710655447
33	niekomorniczy	0.08236486309168901	0.3878337544170773	0.23509930875438315
34	naroić się	0.1002203749228095	0.39801939739572734	0.24911988615926842
35	przysznurowywać się	0.0672145975103854	0.4691110194833426	0.268162808496864
36	pomroczyć	0.10070268867247696	0.3351962158746858	0.21794945227358137
37	tłamsić się	0.09166157306953004	0.3404228570041487	0.21604221503683937
38	krągły	0.09556666681080121	0.20796972740355976	0.15176819710718048
39	ziemiański	0.0932154759887843	0.33564018849577226	0.2144278322422783
40	załatwić	0.10499777565914602	0.35133236222824243	0.22816506894369423
41	stabilizującość	0.07112666667444857	0.38133392393746296	0.22623029530595576
42	płótnować	0.10493637769179553	0.3536113769442703	0.22927387731803292
43	czesać	0.10908262359358221	0.3497964218788675	0.22943952273622487
44	niebezzawodny	0.08219114386773378	0.4114264323546776	0.24680878811120568
45	ciuknąć się	0.09051928708537094	0.28287915937629465	0.1866992232308328
46	spróżnować się	0.08585053542631087	0.4004863724422204	0.24316845393426564
47	zaszamotywać się	0.07811989560371832	0.4457372142421437	0.261928554922931
48	niebitumiczny	0.08043257691464126	0.3304189367509111	0.2054257568327762
49	zasypać się	0.09664952814695627	0.3766743906460529	0.23666195939650458
50	upatrywać	0.10498474222708838	0.37248966447732446	0.2387372033522064
51	urynalik	0.09768739153619968	0.33364243197973487	0.21566491175796726
52	nastawać	0.10981230499992571	0.372149362061556	0.24098083353074087
53	minimalizować	0.08694924134422441	0.427559233069311	0.2572542372067677
