index	lemma	avg_lemma_similarity	avg_feature_similarity	information_density
0	pletta	0.13306251075386363	0.31685267111912707	0.22495759093649537
1	palabverine	0.09660855318673177	0.33175491463181495	0.21418173390927336
2	Portugalii	0.1013566489336957	0.34156056446866684	0.22145860670118128
3	tuskikaz	0.11642784631833948	0.3613556239815535	0.2388917351499465
4	päčlämbituz	0.09277375605501108	0.3319056845645728	0.21233972030979195
5	vezibul’uine	0.08831097360214597	0.34066271485844213	0.21448684423029404
6	lainata	0.13178350648021578	0.3443269365939937	0.23805522153710473
7	lätäk	0.1252910563033314	0.29348575375174796	0.2093884050275397
8	ristlu	0.12467807148449718	0.35402941961030526	0.23935374554740121
9	kiškoida	0.12140391569095091	0.3127020872498066	0.21705300147037876
10	vezipomp	0.10905820536089475	0.30564272642271706	0.2073504658918059
11	muštznam	0.11353760558603285	0.36132626443229077	0.23743193500916182
12	ö	0.11755420323420787	0.16316953324168346	0.14036186823794566
13	säntedo	0.11997329316355411	0.3461035438661288	0.23303841851484144
14	verdutada	0.11774896497264326	0.3443006984799616	0.23102483172630242
15	avaruz’lendai	0.08446123154186852	0.40904733690828077	0.24675428422507464
16	pugetada	0.12522337680841744	0.3401870971190757	0.23270523696374656
17	tähklind	0.1147767859418298	0.3592662708531345	0.23702152839748214
18	dokumentaline	0.08732941517841583	0.4438510848350523	0.2655902500067341
19	eskimojähine	0.08724922455592915	0.3553675729671812	0.22130839876155517
20	pöudhir’	0.11028369114172104	0.3101083092433762	0.2101960001925486
21	mulinelang	0.10310594322292407	0.40434303204923516	0.25372448763607963
22	hobedtabaine	0.09304673880007286	0.38660945093015	0.23982809486511142
23	harjoiteluz	0.09735498796788415	0.41909513668756326	0.2582250623277237
24	lekotada	0.12610237509718109	0.35463198602155166	0.24036718055936637
25	pit’ktukaine	0.09241047823850565	0.3865248750334662	0.23946767663598595
26	pehmednahkaine	0.08050865862633363	0.3710593232894889	0.22578399095791124
27	oteg	0.12855500720056356	0.30328574821825427	0.21592037770940892
28	muzalahk	0.11411031701128811	0.3094324198026837	0.2117713684069859
29	imel’zoitta	0.09664971642629569	0.37303595171583753	0.2348428340710666
